Fermi GBM Flare List  (generated 29-May-2025 05:00)
                                                                                                    
Total # flares: 1232   Time range: 14-Nov-2014 00:00:00.000 - 01-Jun-2017 00:00:00.000
                                                                                                    
   Flare         Start time         Peak     End       Peak        Avg. Count      Sunward
                                                       c/ms           Rate        Detectors

 150504_0249  4-May-2015 02:49:53 02:53:26 03:16:01  146.771    7562.1618865519  n3 n1 n0 n5
 150504_0420  4-May-2015 04:20:27 04:20:53 04:22:55   11.281    1639.0067567568  n5 n1 n3 n0
 150504_1025  4-May-2015 10:25:53 10:27:07 10:30:40    2.274     237.9825783972  n5 n4 n2 n3
 150504_1030  4-May-2015 10:30:52 10:31:33 10:32:06    0.480      59.8918918919  n5 n1 n3 n4
 150504_1659  4-May-2015 16:59:57 17:01:56 17:12:47   19.205    1188.6220779221  n5 n1 n3 n0
 150505_0254  5-May-2015 02:54:21 02:56:50 02:57:46    5.196     930.0390243902  n5 n1 n3 n0
 150505_0301  5-May-2015 03:01:17 03:02:34 03:04:02    3.109    1261.1878787879  n5 n1 n3 n4
 150505_0308  5-May-2015 03:08:07 03:08:38 03:09:06    6.058    1508.6271186441  n5 n4 n2 n1
 150505_0400  5-May-2015 04:00:08 04:02:11 04:06:45    5.363     499.9219143577  n5 n3 n1 n0
 150505_0438  5-May-2015 04:38:55 04:41:02 04:43:37    1.527     195.7102473498  n5 n3 n1 n0
 150505_0758  5-May-2015 07:58:28 07:59:26 08:01:04    7.831    4408.2435897436  n5 n4 n2 n3
 150505_0859  5-May-2015 08:59:26 08:59:39 08:59:50    1.033     857.0000000000  n5 n1 n3 n0
 150505_0911  5-May-2015 09:11:38 09:13:12 09:22:33    6.835     590.8183206107  n5 n1 n3 n0
 150505_1013  5-May-2015 10:13:00 10:13:00 10:13:57    0.497      94.8245614035  n5 n4 n2 n1
 150505_1156  5-May-2015 11:56:38 11:58:04 11:59:42    5.705     420.0869565217  n5 n4 n1 n2
 150505_1339  5-May-2015 13:39:10 13:39:47 13:41:17    2.650     300.6614173228  n3 n1 n5 n0
 150505_1344  5-May-2015 13:44:42 13:50:09 14:00:05   80.115   17211.6793066089  n0 n3 n1 n5
 150505_1405  5-May-2015 14:05:33 14:06:47 14:09:10    2.670     299.0783410138  n5 n3 n1 n0
 150505_1420  5-May-2015 14:20:34 14:22:06 14:22:17   53.597   11890.7087378641  n5 n4 n2 n3
 150505_1516  5-May-2015 15:16:05 15:20:03 15:29:24    3.325     236.3191489362  n5 n1 n3 n0
 150505_2135  5-May-2015 21:35:38 21:42:48 21:47:47    1.429     237.3689986283  n5 n1 n3 n0
 150505_2206  5-May-2015 22:06:38 22:07:59 22:08:00  441.042   94687.5609756098  n5 n4 n2 n1
 150506_0045  6-May-2015 00:45:31 00:45:43 00:46:12    1.137     208.0243902439  n5 n1 n3 n4
 150506_0224  6-May-2015 02:24:50 02:25:39 02:26:53    2.090     311.5609756098  n3 n1 n0 n5
 150506_0652  6-May-2015 06:52:14 06:53:04 06:55:06    2.764     338.5988372093  n5 n4 n3 n1
 150506_1147  6-May-2015 11:47:09 11:48:44 11:53:46  209.887   37598.6381909548  n5 n3 n1 n0
 150506_2001  6-May-2015 20:01:34 20:01:50 20:02:12    4.656    1999.7837837838  n5 n1 n3 n0
 150506_2003  6-May-2015 20:03:29 20:04:19 20:05:01    1.927    1220.0217391304  n5 n1 n3 n0
 150506_2010  6-May-2015 20:10:30 20:10:42 20:11:03    1.612    1070.7878787879  n5 n1 n3 n4
